11eyes -罪と罰と贖いの少女-	78	1527	成長物語	80
11eyes -罪と罰と贖いの少女-	78	1527	キャラを取り巻く世界観が良いゲーム（旧：雰囲気の良いゲーム）	89
11eyes -罪と罰と贖いの少女-	78	1527	歌がいいゲーム	200
11eyes -罪と罰と贖いの少女-	78	1527	演出の光るゲーム	190
11eyes -罪と罰と贖いの少女-	78	1527	脇役が光るゲーム	103
11eyes -罪と罰と贖いの少女-	78	1527	シナリオがいいゲーム	89
11eyes -罪と罰と贖いの少女-	78	1527	CGが美しいゲーム	90
11eyes -罪と罰と贖いの少女-	78	1527	（熱く燃える）熱血系ゲーム	123
11eyes -罪と罰と贖いの少女-	78	1527	ゴールが一つだけのゲーム	87
11eyes -罪と罰と贖いの少女-	78	1527	魅力的なヒロインがいるゲーム	79
11eyes -罪と罰と贖いの少女-	78	1527	「あまりにも」ご都合主義な展開	88
11eyes -罪と罰と贖いの少女-	78	1527	戦闘描写（シーン）が印象的	114
11eyes -罪と罰と贖いの少女-	78	1527	不思議世界に戸惑うキャラ達	92
11eyes -罪と罰と贖いの少女-	78	1527	共通シーンが長い	162
11eyes -罪と罰と贖いの少女-	78	1527	魅力的な攻略不可キャラクター	93
11eyes -罪と罰と贖いの少女-	78	1527	戦う女の子達	171
11eyes -罪と罰と贖いの少女-	78	1527	ザッピング・マルチサイト・複数視点	136
11eyes -罪と罰と贖いの少女-	78	1527	オールクリアに価値あり	87
3days -満ちてゆく刻の彼方で-	77	1002	歌がいいゲーム	72
3days -満ちてゆく刻の彼方で-	77	1002	恐怖・ホラー・伝奇物	76
3days -満ちてゆく刻の彼方で-	77	1002	一般人にお勧めでないゲーム	53
3days -満ちてゆく刻の彼方で-	77	1002	攻略難度高い作品	56
3days -満ちてゆく刻の彼方で-	77	1002	悪役たる悪役	107
3days -満ちてゆく刻の彼方で-	77	1002	得する？雑学、うんちく、トリビア	54
3days -満ちてゆく刻の彼方で-	77	1002	バイオレンス・スプラッター	79
AIR	85	2930	BGMに惚れ惚れ(*'-')	404
AIR	85	2930	魂の作品	173
AIR	85	2930	キャラを取り巻く世界観が良いゲーム（旧：雰囲気の良いゲーム）	173
AIR	85	2930	歌がいいゲーム	424
AIR	85	2930	シナリオがいいゲーム	326
AIR	85	2930	名シーン・名台詞あります	164
AIR	85	2930	感動した（泣いてしまった）ゲーム	381
AIR	85	2930	家族っていいなぁ	174
AIR	85	2930	夏ゲー	320
AIR	85	2930	舞台が田舎	193
AIR	85	2930	変な口癖	230
AIR	85	2930	オールクリアに価値あり	186
AQUA	78	527	キャラを取り巻く世界観が良いゲーム（旧：雰囲気の良いゲーム）	41
AQUA	78	527	歌がいいゲーム	32
AQUA	78	527	脇役が光るゲーム	27
AQUA	78	527	伏線がしっかり回収されているゲーム	27
AQUA	78	527	炉利(ロリ)	35
AQUA	78	527	環境周りが快適	31
AQUA	78	527	シナリオがいいゲーム	39
AQUA	78	527	感動した（泣いてしまった）ゲーム	31
AQUA	78	527	CGが美しいゲーム	59
AQUA	78	527	家族っていいなぁ	35
AQUA	78	527	夏ゲー	46
AQUA	78	527	クリア後、本編以外のお楽しみ	30
AQUA	78	527	魅力的な攻略不可キャラクター	30
AQUA	78	527	SF仕立てのゲーム	39
AQUA	78	527	オールクリアに価値あり	63
AYAKASHI アヤカシ	78	890	演出の光るゲーム	119
AYAKASHI アヤカシ	78	890	脇役が光るゲーム	49
AYAKASHI アヤカシ	78	890	ムービーが良い！(エロ動画除く)	60
AYAKASHI アヤカシ	78	890	（熱く燃える）熱血系ゲーム	50
AYAKASHI アヤカシ	78	890	戦闘描写（シーン）が印象的	61
AYAKASHI アヤカシ	78	890	主人公がバトルに強い！	47
AYAKASHI アヤカシ	78	890	戦う女の子達	65
Aster	81	820	BGMに惚れ惚れ(*'-')	53
Aster	81	820	修正ファイルがあるゲーム	59
Aster	81	820	声がいいゲーム	77
Aster	81	820	ヒロインが朝起こしに来る	70
Aster	81	820	歌がいいゲーム	101
Aster	81	820	死生観	108
Aster	81	820	脇役が光るゲーム	43
Aster	81	820	タイトルの良いゲーム	59
Aster	81	820	シナリオがいいゲーム	129
Aster	81	820	名シーン・名台詞あります	44
Aster	81	820	感動した（泣いてしまった）ゲーム	119
Aster	81	820	CGが美しいゲーム	64
Aster	81	820	鬱ゲー	43
Aster	81	820	愛を確かめ合う初々しいぇち	64
Aster	81	820	ゴールが一つだけのゲーム	130
Aster	81	820	埋もれている名作	98
Aster	81	820	双子姉妹が魅力的	102
Aster	81	820	純愛物語	70
Aster	81	820	ザッピング・マルチサイト・複数視点	80
Aster	81	820	オールクリアに価値あり	139
BALDR FORCE	90	684	ゲーム性のある飽きないゲーム	80
BALDR FORCE	90	684	エロゲー初心者にお勧めな作品	41
BALDR FORCE	90	684	歌がいいゲーム	84
BALDR FORCE	90	684	ムービーが良い！(エロ動画除く)	51
BALDR FORCE	90	684	シナリオがいいゲーム	51
BALDR FORCE	90	684	プログラム技術が高いゲーム	58
BALDR FORCE	90	684	（熱く燃える）熱血系ゲーム	42
BALDR FORCE	90	684	悪役たる悪役	43
BALDR FORCE	90	684	戦闘描写（シーン）が印象的	35
BALDR FORCE EXE	87	1491	ゲーム性のある飽きないゲーム	192
BALDR FORCE EXE	87	1491	魂の作品	84
BALDR FORCE EXE	87	1491	歌がいいゲーム	187
BALDR FORCE EXE	87	1491	演出の光るゲーム	88
BALDR FORCE EXE	87	1491	ムービーが良い！(エロ動画除く)	93
BALDR FORCE EXE	87	1491	シナリオがいいゲーム	122
BALDR FORCE EXE	87	1491	プログラム技術が高いゲーム	108
BALDR FORCE EXE	87	1491	（熱く燃える）熱血系ゲーム	115
BALDR FORCE EXE	87	1491	悪役たる悪役	174
BALDR FORCE EXE	87	1491	戦闘描写（シーン）が印象的	118
BALDR FORCE EXE	87	1491	主人公がバトルに強い！	81
BALDR FORCE EXE	87	1491	SF仕立てのゲーム	87
BALDR FORCE EXE	87	1491	オールクリアに価値あり	111
BALDR SKY Dive1 ”Lost Memory”	90	2184	ゲーム性のある飽きないゲーム	387
BALDR SKY Dive1 ”Lost Memory”	90	2184	ひたすら長い。長すぎるよ、このゲーム。	132
BALDR SKY Dive1 ”Lost Memory”	90	2184	BGMに惚れ惚れ(*'-')	167
BALDR SKY Dive1 ”Lost Memory”	90	2184	主人公が素敵	180
BALDR SKY Dive1 ”Lost Memory”	90	2184	魂の作品	248
BALDR SKY Dive1 ”Lost Memory”	90	2184	声がいいゲーム	147
BALDR SKY Dive1 ”Lost Memory”	90	2184	キャラを取り巻く世界観が良いゲーム（旧：雰囲気の良いゲーム）	221
BALDR SKY Dive1 ”Lost Memory”	90	2184	歌がいいゲーム	296
BALDR SKY Dive1 ”Lost Memory”	90	2184	演出の光るゲーム	272
BALDR SKY Dive1 ”Lost Memory”	90	2184	脇役が光るゲーム	114
BALDR SKY Dive1 ”Lost Memory”	90	2184	ムービーが良い！(エロ動画除く)	150
